Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","YR2000","21870.4159669594"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2001","YR2001","19695.7297379144"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2002","YR2002","20301.8431713256"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2003","YR2003","23718.1338501868"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2004","YR2004","30836.7306824685"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","YR2005","34479.7679298388"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2006","YR2006","36595.7071548423"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2007","YR2007","41051.6120652288"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2008","YR2008","49701.2817843335"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2009","YR2009","42816.5674002829"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","YR2010","52144.6654705468"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2011","YR2011","62605.600458306"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2012","YR2012","68072.8732340801"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2013","YR2013","68190.7010035651"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2014","YR2014","62544.0873773726"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2015","YR2015","56739.0265346593"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2016","YR2016","49888.0410842736"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2017","YR2017","53901.7145392154"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2018","YR2018","57196.4220783778"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","YR2000","7637.01489203628"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2001","YR2001","7141.47507662826"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2002","YR2002","2569.69963519124"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2003","YR2003","3320.47775133903"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2004","YR2004","4242.02099089422"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","YR2005","5067.65342293276"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2006","YR2006","5869.38028970204"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2007","YR2007","7185.25155147027"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2008","YR2008","8944.1102657357"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2009","YR2009","8150.23527028221"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","YR2010","10260.1313108254"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2011","YR2011","12704.2831819684"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2012","YR2012","12949.717486654"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2013","YR2013","12963.675773326"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2014","YR2014","12233.1444119186"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2015","YR2015","13679.6264980954"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2016","YR2016","12699.9623137756"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2017","YR2017","14532.5009308511"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2018","YR2018","11752.7998922979"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","YR2000","7524.0271380091"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2001","YR2001","7952.76479510706"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2002","YR2002","7983.03398381759"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2003","YR2003","7434.07465031562"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2004","YR2004","7849.66759649565"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","YR2005","8671.75891885163"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2006","YR2006","9512.63575346699"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2007","YR2007","10134.3327129706"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2008","YR2008","10523.7685427665"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2009","YR2009","8423.56933214711"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","YR2010","9728.80078237782"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2011","YR2011","10664.4944046282"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2012","YR2012","10744.1335229686"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2013","YR2013","11216.800851866"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2014","YR2014","11391.3773510244"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2015","YR2015","10021.2386124039"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2016","YR2016","9097.92397674769"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2017","YR2017","9649.27816772402"
Mexico,"MEX","GDP per capita (current US$)","NY.GDP.PCAP.CD","2018","YR2018","10084.7937553679"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","YR2000","3766.54811466032"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2001","YR2001","3176.28935747524"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2002","YR2002","2855.94018885769"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2003","YR2003","3090.6070097455"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2004","YR2004","3663.823188064"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","YR2005","4827.78173074714"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2006","YR2006","5934.14470924968"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2007","YR2007","7409.69130673473"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2008","YR2008","8908.33176538648"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2009","YR2009","8678.6592244676"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","YR2010","11403.2821278747"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2011","YR2011","13396.6243562986"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2012","YR2012","12521.7213519966"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2013","YR2013","12458.8912138813"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2014","YR2014","12274.9939689363"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2015","YR2015","8936.19661712113"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2016","YR2016","8836.28652735657"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2017","YR2017","10080.5092819305"
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2018","YR2018","9300.66164923219"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","YR2000","969.199513696287"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2001","YR2001","1065.40597574519"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2002","YR2002","1163.55957673426"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2003","YR2003","1306.97245408557"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2004","YR2004","1530.92726215723"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","YR2005","1777.64496828464"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2006","YR2006","2129.25696999613"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2007","YR2007","2734.72709877693"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2008","YR2008","3523.44302065213"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2009","YR2009","3898.24459158811"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","YR2010","4629.24551710077"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2011","YR2011","5703.76027973346"
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2012","YR2012","6405.0574241349"
