Country,Year,LifeExpectancy,CO2_use,GDP_per_capita_USD
Argentina,2015,76.3,206367967.5,13679.6264980954
Argentina,2014,76.2,202671490.1,12233.1444119186
Argentina,2013,76.0,188428149.5,12963.675773326
Argentina,2012,75.9,191044680.3,12949.717486654
Argentina,2011,75.7,190247901.5,12704.2831819684
Argentina,2010,75.5,186686451.5,10260.1313108254
Argentina,2009,75.6,178867384.3,8150.23527028221
Argentina,2008,75.4,188041184.3,8944.1102657357
Argentina,2007,74.8,174232910.8,7185.25155147027
Argentina,2006,75.2,174617506.0,5869.38028970204
Argentina,2005,74.9,161424779.4,5067.65342293276
Argentina,2004,74.7,157033639.3,4242.02099089422
Argentina,2003,74.1,134620660.1,3320.47775133903
Argentina,2002,74.1,124382213.6,2569.69963519124
Argentina,2001,74.0,133310609.8,7141.47507662826
Argentina,2000,74.1,141716804.3,7637.01489203628
Australia,2015,82.8,402995453.4,56739.0265346593
Australia,2014,82.7,393464239.2,62544.0873773726
Australia,2013,82.5,398163798.2,68190.7010035651
Australia,2012,82.3,407146057.1,68072.8732340801
Australia,2011,82.0,404246571.2,62605.600458306
Australia,2010,81.9,406752772.7,52144.6654705468
Australia,2009,81.7,408672631.7,42816.5674002829
Australia,2008,81.3,405048537.2,49701.2817843335
Australia,2007,81.3,400415729.4,41051.6120652288
Australia,2006,81.2,392681873.2,36595.7071548423
Australia,2005,81.0,386515211.6,34479.7679298388
Australia,2004,86.0,383204944.7,30836.7306824685
Australia,2003,83.0,369725835.4,23718.1338501868
Australia,2002,79.9,362209093.8,20301.8431713256
Australia,2001,79.9,357668742.8,19695.7297379144
Australia,2000,79.5,350194581.8,21870.4159669594
Brazil,2015,75.0,512081882.0,8936.19661712113
Brazil,2014,74.8,519526349.7,12274.9939689363
Brazil,2013,74.7,493593511.3,12458.8912138813
Brazil,2012,74.5,460063092.5,12521.7213519966
Brazil,2011,74.1,430194902.3,13396.6243562986
Brazil,2010,73.8,411240192.0,11403.2821278747
Brazil,2009,73.6,360090776.0,8678.6592244676
Brazil,2008,73.4,380344928.0,8908.33176538648
Brazil,2007,73.3,356918752.0,7409.69130673473
Brazil,2006,73.0,341946368.0,5934.14470924968
Brazil,2005,72.7,342086472.0,4827.78173074714
Brazil,2004,72.0,333675144.0,3663.823188064
